"id";"first_name";"last_name";"department_id";"role_id";"manager_id"
1;"Alec";"Greene";2;8;1
2;"Desare";"Farris";3;9;1
3;"Kanye";"Wet";5;9;42
4;"Fin";"Kardashian";6;7;1
5;"Jimmy";"Kibble";7;5;1
6;"Bear";"Grylls";5;4;42
7;"Dick";"Wolf";2;7;1
8;"Scrooge";"McDuck";7;1;1
9;"Jack";"Sparrow";3;4;1
10;"Robin";"Carlson";6;7;1
11;"Dick";"Johnson";5;8;42
12;"Sam";"Wilson";3;9;1
13;"Wade";"Wilson";6;4;1
14;"John";"Jameson";7;5;1
15;"Doc";"Brown";8;3;15
16;"Laura";"Terra";2;9;1
17;"Marty";"McFly";8;11;15
18;"John";"Dolittle";4;8;31
19;"Aslan";"Lewis";1;4;19
20;"Jim";"Halpert";7;12;1
21;"Dwight";"Schrute";8;11;15
22;"Stanley";"Hudson";8;11;15
23;"Angela";"Martin";1;9;19
24;"Kevin";"Malone";7;6;1
25;"Oscar";"Martinez";7;6;1
26;"Shaggy";"Rogers";2;9;1
27;"Velma";"Dinkley";4;8;31
28;"Fred";"Jones";1;9;19
29;"Daphne";"Blake";6;8;1
30;"Scoobert";"Doo";2;9;1
31;"Steve";"Irwin";4;4;31
32;"Bindi";"Irwin";4;9;31
33;"Carol";"Baskin";1;8;19
34;"Joe";"Exotic";1;7;19
35;"Robert";"Brown";3;7;1
36;"Jebediah";"Lyson";5;7;42
37;"Chanice";"Tyson";6;8;1
38;"Omar";"Al-Saud";5;9;42
39;"North";"West";7;11;1
40;"Terry";"Haymond";5;7;42
41;"Cruella";"Devil";2;4;1
42;"Chiron";"Kaustus";5;4;42
